MAKE
AASI
"Aces High"
"Acro Sport Inc."
"Adam Aircraft Industries"
"Adams Wilson"
Adams
"Advanced Aviation"
"Adventure Air"
"Adventure S.A."
AEA
"Aerial Arts"
Aeriane
Aerion
Aeritalia
Aermacchi
Aeroandina
"Aeroballoon Inc."
"Aero Boero"
"Aerocad Inc."
"Aerocar Int."
Aerochute
"Aero Commander"
"Aero Composite"
Aerocomp
Aerocopter
"Pulsar Aircraft Corp."
"Aero Designs"
"Aero East Europe"
"Progressive Aerodyne"
"Aero Fox"
"Aero Kuhlmann"
Aerolites
AeroMagic
"Aero Mirage Inc."
Aeromot
Aeronca
"Aéronef Montréal"
Aerola
"Aeroplanes DAR"
"Aero Ltd."
Aeroprakt
Aeropro
"Aero Sea Bird"
Aero-Service
"Aéro Services"
Aerosette
Eurocopter
Socata
Aerospatiale
D'Apuzzo
Aerospool
Aerosport
"Aerostar Int."
"SC Aerostar"
Aerostar
"Aeros s.r.o."
Aeros
AeroThrust
Aerotechnik
"WAG Aero"
"Aero Works"
"Affordaplane Aircraft Co."
Agusta
AIDC
A-I-R
Airbet
"Airborne Innovations"
"AirBorne Australia"
Airbus
AirBouyant
"Air Command"
Airconcept
"Aircraft Designs Inc."
"Aircraft Technologies"
"Air Creation"
"Airdrome Aeroplanes"
"Paramotores Airfer S.L."
"Airframes Unlimited"
"Air Magic"
Airmark
AirMass
AirMax
"Air & Space America"
Airtech
Airtek
"Airtour Balloons"
"Air Tractor"
"Airwave Gliders"
Airwave
"Akaflieg München"
Akrotech
"AKS Inc."
Albatros
Alco
Alenia
"Alisport Srl."
"Alliant Aviation"
"ALMS Sauper "
Alon
"Alpi Aviation"
"Alpha Aviation"
Alpla
"Amax Engineering"
"Amazon Balloons"
AMD
"AMS Flight"
All-American
"American Aerolight"
"American Aircraft Corp."
"American Aviation Co."
"American Champion"
"American Legend"
"AMF Microflight"
AMX
"Anderson Greenwood"
Anderson
Andreasson
Andrews
"Angel Aircraft"
Anglin
Antares
"Antilles Seaplanes"
Antonov
"APCO Aviation"
"Applebay Aviation"
Arado
"Aquilair ULM"
Aquila
"Arion Aircraft"
"Arnet Pereyra"
"Arrow Aircraft & Motor Corp."
"Arrowquest Aviation"
ASAP
ASI
"Associated Air"
ASTA
"Atec v.o.s."
Atlas
ATR
"Augur Aerostatic Systems"
Auster
"Australian LightWing"
"Austrlite Inc."
Autocopter
"Autogyro Gmbh."
Lacroix
Avama
Avcat
Aveko
"Avia Ltd."
A.V.I.A.
Aviakit
Aviamilano
"Avian Balloon Co."
"Avia Stroitel"
Aviatechnika
"Aviate Products"
Aviasud
"Aviation Development Int."
"Aviation Normand Dude"
ATG
"Aviat Aircraft Inc."
"Avid Aircraft"
Avioane
Avion
Avionav
"Avions Claude Piel"
"Avions Starck"
Avionnerie
Aviotechnica
AVRO
"Aero Vodochody"
"B&F Technik"
BAC
Backcountry
BAe
Bakeng
Barber
Barnett
Barrows
"Michel Barry"
Beagle
Bede
Beech
"Chuck Beeson"
"Viking Aircraft"
Bellanca
Bell
"Belite Aircraft"
"Bensen Aircraft Corp."
"Berg Aero"
"Berkut Engineering"
Beriev
"Best Off"
"BilSim Aviation"
Bird
Blantchford
Blatnick
Bleriot
"Bleu Citron"
"Binder Motorenbau"
Binder-Aviatik
Bittner
Boeing-Vertol
Boeing
Boisavia
"Boland Balloon"
Bolkow
Bombardier
"Boothby "
"Boredom Fighter"
Borel
"B.O.T Aircraft"
Bowers
"Bowlus Sailplane"
Bradley
Brändli
Brantly
Breguet
Brewster
Briegleb
"Bristol Balloons"
Bristol
"Norman Aircraft Company"
"Britten Norman"
"Maurice Brochet"
Lambair
