model
Other
Stratocruzer
MkIII
MkII
MkI
Cuby
"Cuby II"
"Cuby I"
Dragonfly
P.9
Sport
Pober
"Pober Junior Ace"
"Pober Super Ace"
"Pober Pixie"
"Super Acro Sport"
"Sport II"
"Sport I"
A500
A700
AW/95
Choppy
A50S
A55
A55S
Basket
B-2-B
B-2
"Buccaneer II"
"Buccaneer XA"
Buccaneer
Carrera
"Carrera 180"
Explorer
"King Cobra"
Cobra
"Cobra 35"
2+2
333
4-Place
Adventurer
"Adventure Twin"
"Super Adventurer"
A3
A4
Funflyer
F1
F2
F3
F4
R2
R3
S4
Z3
Z4
Paramotor
Elle
"Elle 24"
"Elle 27"
"Elle 30"
"Elle 34"
"Elle 38bi"
"Elle 42bi"
Elle+
"Elle+ 25"
"Elle+ 28"
"Elle+ 31"
X-Presso
"X-Presso 38"
"X-Presso 38bi"
"X-Presso 42"
"X-Presso 42bi"
"Russian Retro"
130SX
110SX
Chaser
"Half Pint"
Swift
Swift'Light
"Swift Motor-Glider"
"SuperSonic BJ"
AL-60
AL-60B
AL-60C
AM-3C
MB-308
MB-308M
MB-326
MB-326K
MB-339
MB-339A
MB-339C
MB-339K
MB-339R
Bosbok
"MXP 1000"
"MXP 100"
"MXP 150"
"MXP 640"
"MXP 650"
"MXP 740"
"MXP 750"
Fantasy-Calima
Kimbaya
Tayrona
AB-5
AB-20
AB-30
AB-95
AB-115
AB-180
AeroCanard
"AeroCanard FG"
"AeroCanard RG"
"AeroCanard SB"
"AeroCanard SX"
"Taylor Aerocar"
"Taylor Aerocar III"
"Taylor Aerocar II"
"Taylor Aerocar I"
Coot
"Coot A"
"Two Seater"
Raptor
690
690A
690A-10
690B
"690B II"
"690B II-10"
"690B I"
690B-10
690C
690C-10
690D
690D-10
690E
695
695A
695A-10
695B
700
720
840
840-10
900
900-10
980
1000
1000-10
1000A
1000B
1121
1121A
1121B
1200
A-9
A-9B
100
180
200
200D
400
500
500A
500B
500U
520
560
560A
560E
560F
680
680B
680E
680FP
680FLP
680FL
680F
680V
680W-1
680W
681
681B
685
AltiCruiser
"Century Turboprop"
Darter
"Grand Renaissance"
"Grand Renaissance 1000"
Interceptor
Jetprop
"Jetprop 1000B"
"Jetprop 1000"
"Jetprop 980"
"Jetprop 900"
"Jetprop 840"
Lark
Quail
Shrike
Supreme
"Sea Hawker"
"Comp Air"
"Comp Air Jet"
"Comp Air 10"
"Comp Air 10XL"
"Comp Air 8"
"Comp Air 3"
"Comp Air 4"
"Comp Air 6"
"Comp Air 7"
"Comp Air 7SL"
"Comp Air 7 Turbine"
"Comp Monster"
"Merlin GT"
AK1-3
Pulsar
"Super Pulsar"
"Super Pulsar 100"
"Super Pulsar 600"
"Sport 150"
"Pulsar XP"
"Pulsar III"
"Super Cruiser"
"Super Cruiser 300"
582
Pulsar
"Pulsar III"
"Pulsar II"
"Pulsar LSA"
"Pulsar TD"
"Pulsar XP-III"
"Pulsar XP"
Starlite
MXP
MXP-140
MXP-150
MXP-155
MXP-158
SILA
SILA-450C
SILA-750
Searey
"Sting Ray"
Scub
Bearcat
"Sport Bearcat"
Eagle
"Eagle 32XL"
"Special Shape"
Basket
Envelope
TC-2
AMT-100
AMT-200
AMT-300
"Super Ximango"
"Turbo Ximango"
Ximango
6AC
7AC/L-16
7BCM/L-16
7BC/L-16A
7EC/L-16B
7ACS
7AC
7AC-65
7BCM
7BC
7CCM
7DCM
7DMS
7DC
7ECA
7ECS
7EC
7FC
7GCA
7GCB
7GC
11
11ACS
11AC
11BCS
11BC
11CCS
11CC
12AC
15AC
50C
50F
50LA
50L
50M
50TC
50TL
60TF
60TL
65
65/L-3
"65/L-3 O58B"
65/L-3A
65/L-3B
65/L-3C
65TF/L-3D
65TC/L-3E
65CA/L-3F
65/L-3F
65TF/L-3H
65TC/L-3J
65CA
65CS
65C
65LA
65LB
65TAC
65TC
65TAF
65TF
65TAL
65TL
C3
C2
C1
KCA
KC
KF
KM
KS
"K Model"
Arrow
Cadet
Tri-Champ
Champion
"Super Champ"
Chum
Chief
"Super Chief"
Defender
"Farm Wagon"
Grasshopper
Master
Razorback
Scout
"Deluxe Scout"
"Sea Scout"
Sedan
Tandem
Traveller
Tri-Traveller
"Ultralight Trainer"
"Le Crystal"
Delta
Alatus-M
"DAR Solo"
"DAR Prio"
"DAR SpeedSter"
"DAR 23"
"DAR 21"
"DAR 21AG"
AT-3
"AT-3 L100"
"AT-3 R100"
G-700S
Aero
Gobosh
A-11
A-20
A-20L
A-20R
A-21
A-21M
A-21R
A-22
A-22LS
A-23
A-23M
A-24
A-25
A-25M
A-26
A-27
A-27M
A-28
A-33
A-36
"Baby Dragon"
Coach
Duster
"Foxbat (Valor)"
Glory
Hamlet
"Sky Cruiser"
Solo
Vista
"Vista Cruiser"
"Vista Cruiser S"
"Vista SS"
"Vista STOL"
Vulcan
"Vulcan SS"
"Aerotrek A220"
"Aerotrek A240"
Eurofox
"Eurofox 3K"
"Eurofox 2K"
Fox
"Fox 2Z"
MF200
Panda
Puma
SG10
SG10A
Cheetah
"Super Cheetah"
Guépard
"Super Guépard"
Guêpe
Guépy
"Guépy Club"
MH-46
Eclipse
"AS 332"
"AS 332L2"
"AS 332L1"
"AS 332L"
"AS 332M1"
"AS 332M"
"AS 350"
"AS 350B3"
"AS 350B3e"
"AS 350B2"
"AS 350B2/FX2"
"AS 350B1"
"AS 350BA"
"AS 350BB"
"AS 350B"
"AS 350C"
"AS 350D"
"AS 350FX"
"AS 350FX2"
"AS 355"
"AS 355B3"
"AS 355FX2"
"AS 355F1"
"AS 355F2"
"AS 355F"
"AS 355N2"
"AS 355NP"
"AS 355N"
"AS 365"
"AS 365C3"
"AS 365C2"
"AS 365C1"
"AS 365F"
"AS 365N4"
"AS 365N3"
"AS 365N2"
"AS 365N1"
"AS 365N"
"AS 532"
"AS 550"
"AS 555"
"AS 565"
"BK 117"
"BK 117A3"
"BK 117A4"
"BK 117B1"
"BK 117B2"
"BK 117C1"
"Bo 105"
"Bo 105-C1"
"Bo 105-CBS4"
"Bo 105-CBS5"
"Bo 105-CBS"
"Bo 105-CB4"
"Bo 105-CB"
"Bo 105-C"
"Bo 105-D"
"Bo 105-LS-A3"
"Bo 105-LS"
"Bo 105-M"
"Bo 108"
"EC 120"
"EC 120-B4"
"EC 120B"
"EC 130"
"EC 130-B4"
"EC 135"
"EC 135P"
"EC 135P1"
"EC 135P2"
"EC 135P2+"
"EC 135P2i"
"EC 135T"
"EC 135T1"
"EC 135T2"
"EC 135T2+"
"EC 135T2i"
"EC 145"
"EC 155"
"EC 155B"
"EC 155B1"
"EC 225"
"EC 225LP"
"EC 635"
"SA 313"
"SA 313B"
"SA 315B"
"SA 316"
"SA 316B"
"SA 316C"
"SA 317"
"SA 318"
"SA 318C"
"SA 319"
"SA 319B"
"SA 321"
"SA 321F"
"SA 321G"
"SA 321H"
"SA 321K"
"SA 321L"
"SA 321M"
"SA 330"
"SA 330J"
"SA 330L"
"SA 341"
"SA 341B"
"SA 341C"
"SA 341D"
"SA 341E"
"SA 341G"
"SA 341H"
"SA 341J"
"SA 341K"
"SA 341M"
"SA 342"
"SA 342J"
"SA 342L"
"SA 342M1"
"SA 342M"
"SA 360"
"SA 361"
"SA 361H"
"SE 313"
"SE 313B"
"SE 313C"
"SE 319"
"SE 3120"
"SE 3130"
"SE 3130 B"
Alouette
"Alouette III"
"Alouette II"
Astazou
Lama
Lama/Cheetah
Colibri
Cougar
"Cougar Mk.I"
"Cougar Mk.II"
Dauphin
"Dauphin II"
Dauphin`e1
Ecureuil
"Ecureuil II"
Fennec
Fennec`tw
Frelon
"Super Frelon"
Gazelle
"Gazelle Mk.III"
"Gazelle Mk.II"
Panther
Puma
"Super Puma Mk.II"
"Super Puma"
Tiger
Tigre
TB-360
TB-9
TB-10
TB-200
TB-20
TB-21
TB-20C
TB-30
TB-31
TBM-700
TBM-700B
TBM-700C
TBM-700C2
TBM-700C1
TBM-850
100
100-ST
"Club 100"
110
110ST
125
150
150ST
150GT
180
220
235
235C
235E
235F
235G
250
300
GY-80
ST-10
Diplomate
Epsilon
"Epsilon Mk II"
Horizon
"Super Horizon 2000"
Omega
Rallye
"Rallye Minerva"
"Rallye Galopin"
Tampico
"Tampico GT Sprint"
Tangara
Tobago
"Tobago GT"
"Tobago XL"
Trinidad
"Trinidad TC GT"
"Trinidad GT"
CM-170
N-262
SN-601
S.O.1221
S.O.1221SP
S.O.1221S
Corvette
Djinn
"Djinn 1"
"Djinn 5"
Fregate
Guerrier
Magister
"Super Magister"
Tzukit
DJ-260
PJ-260M
PJ-260
D-260
D-200
D-201
"Aero Sport"
"Junior Aero Sport"
"Senior Aero Sport"
Denight
Freshman
Sportwing
"WT 9"
Dynamic
103
Quail
Rail
Scamp
"Woody Pusher"
AX-10
AX-9
AX-8
AX-7
CW-513
CW-783
RX-6
RX-7
RX-8
RX-8S
RX-9
S-49
S-49A
S-51
S-51A
S-52
S-52A
S-53
S-53A
S-53H
S-55
S-55A
S-57
S-57A
S-60
S-60A
S-66
S-66A
S-71
S-71A
"140,000 cu ft"
"175,000 cu ft"
"69,000 cu ft"
"75,000 cu ft"
Aurora
"Aurora 54k"
"Aurora 62k"
"Aurora 69k"
"Custom Nine"
Crusader
Basket
"Classic Basket"
"Classic Limited Stretch Basket"
"Classic Limited Basket"
"Raven Basket"
"RB6 Basket"
"RWS Basket"
"Stretch Limited Basket"
Horizon
"Horizon 69k"
Rally
"Rally 90k"
"Rally Basket"
Raven
"Raven AX-2"
"Raven AX-6"
"Raven AX-7"
"Raven AX-8"
"Raven AX-9"
"105 System"
"105 Envelope"
"126 System"
"126 Envelope"
Envelope
"Special Shape"
01
IAK-52
R40
R40F
R40S
Festival
"Festival Sport"
600
600A
601
601A
601B
601P
601L
601T
602P
PA-60
"Machen Superstar"
"Machen Superstar II"
"Machen Superstar I"
"Machen Superstar 650"
"Machen Superstar 680"
"Machen Superstar 700"
700P
Superstar
"Superstar 680"
"Superstar 700"
"Super 700 AeroStar"
"Super 700CR AeroStar"
"Super 700P AeroStar"
702P
"UL 2000"
Flamingo
AC-21
"Aeros-2 Trike"
"Aeros-1 Trike"
Combat
"Combat L13"
"Combat L12"
"Combat 12T"
"Combat L09"
"Combat L07"
"nano-Trike AnT"
Cross-Country
Stealth
"Stealth KPL 14"
"Stealth 13"
"Stealth III"
"Stealth II"
Stranger
"Stranger 15"
Velocity
ZG
"ZG Featherlite"
"ZG Pro"
L-13
L-13SW
P-220
"P-220 ULR"
"P-220 UL"
Koala
Vivat
PA-11
PA-18
2+2
"Acro Trainer"
Cubby
"Cubby II"
"Super Cubby"
Sportsman
"Sport Trainer"
Supersport
WAG-A-Bond
"WAG-A-Bond Classic"
103
Aerolite
A109
A109A
"A109A Plus"
"A109A II"
"A109A II Plus"
A109C
"A109C II"
A109E
A109K
"A109K II"
"A109K II Plus"
AW109S
AW109SP
A119
"AW119 Ke"
A129
A139
AW139
AW169
C-Max
Grand
"Grand New"
Koala
Mangusta
Power
"Power Elite"
"Power EMS"
AT-3P
AT-3
A-CH-1
R-CH-1
T-CH-1
Chung-Kuo
Lui-Meng
ATOS
ATOS-VQ
ATOS-VR
ATOS-VR11
ATOS-VS
ATOS-VX
ATOS-V
Girabet
"Classic Girabet"
"582 Girabet"
"Girabet 2"
"Girabet 2 Sport"
"1/2 Tun"
G-Series
"Star Streak"
"Streak Shadow"
Shadow
Tundra
Wizard
503
"503 DCDI"
582
XT-582
912
XT-912
XT912-SST
Edge
"Edge X"
Outback
X-Series
"X-Series Classic"
"X-Series Redback"
"X-Series Outback"
Tourer
Tundra
"Wizard Wing"
"Wizard Wing II"
"Wizard Wing 17.5M"
"Trike/Wizard Wing"
A300
A300-B2
A300-B2-100
A300-B2-101
A300-B2-1C
A300-B2K-3C
A300-B4
A300-B4-100
A300-B4-100F
A300-B4-103
A300-B4-103F
A300-B4-120
A300-B4-200
A300-B4-200F
A300-B4-203
A300-B4-203F
A300-B4-600
A300-B4-600R
A300-B4-605
A300-B4-605R
A300-B4-622
A300-B4-622R
A300-C4
A300-C4-200
A300-C4-203
A300-C4-600
A300-C4-600F
A300-C4-605
A300-C4-605R
A300-F4
A300-F4-605
A300-F4-605R
A300-600
A300-600F
A300-600R
A300-600RF
A300-600T
A300F
A310
A310-200
A310-200C
A310-200F
A310-203
A310-204
A310-222
A310-300
A310-300F
A310-304
A310-304F
A310-308
A310-322
A310-324
A310-324ET
A310-325
A310-325ET
A318
A318-CJ
A319
A319-100
A319-100CJ
A319-112
A319-114
A319-132
A319-200
A319-CJ
A320
A320-100
A320-200
A320-211
A320-212
A320-214
A320-231
A320-232
A320-233
A321
A321-100
A321-111
A321-130
A321-131
A321-200
A321-211
A321-231
A330
A330-200
A330-223
A330-243
A330-300
A330-301
A330-322
A330-343
A340
A340-200
A340-211
A340-212
A340-213
A340-213X
A340-300
A340-311
A340-312
A340-313
A340-313X
A340-500
A340-AARGOS
A380
A380-CJ
Beluga
"Flying Palace"
Elite
"Super Transporter"
PAM-100B
VertiPod
VertiPod-2
532
"Mazda 13B"
"Commander Elite"
"Falcon 2000"
"VoWi 10"
"Bumble Bee"
Stallion
"Super Stallion"
"Turbine Stallion"
"Acro 1"
Atlantis
"Meyer 360"
447
462
503
503-SL
503-S
582
582-SL
582-S
912
912-S
Buggy
"Buggy - Kiss 400"
"Buggy - Kiss 450"
Clipper
GTBi
GTE
"GTE Trek"
"GTE Trek 700E"
IXESS
"IXESS 13"
"IXESS 15"
Kiss
"Kiss 400"
"Kiss 450"
Racer
Fun-Racer
Skypper
Tanarg
Twin
"Fokker E-III"
"Fokker D-VIII"
"Fokker D-VII"
"Fokker D-VI"
"Fokker Dr-I"
Eindecker
"Dream Classic"
"Nieuport 24"
100
80
BiMax
Hurricane
